Season,Team,Budget,position,points,Cost per Point,Cost per Position,predicted_position,predicted_points
2016-2017,Valencia,257.5,12,46,5.5978260869565215,21.458333333333332,9.0,57.51389941836311
2016-2017,Celta,122.4,13,45,2.72,9.415384615384616,11.0,48.86446800788169
2016-2017,Las Palmas,84.3,14,39,2.1615384615384614,6.021428571428571,12.0,46.425213109737044
2016-2017,Betis,84.2,15,39,2.158974358974359,5.613333333333333,12.0,46.41881086590989
2016-2017,La Coruna,94.0,16,36,2.611111111111111,5.875,12.0,47.04623076097072
2016-2017,Leganes,53.15,17,35,1.5185714285714285,3.126470588235294,13.0,44.43091415757941
2016-2017,Sp Gijon,46.75,18,31,1.5080645161290323,2.5972222222222223,13.0,44.02117055264173
2016-2017,Osasuna,42.9,19,22,1.95,2.2578947368421054,13.0,43.7746841652964
2016-2017,Granada,66.45,20,20,3.3225000000000002,3.3225000000000002,12.0,45.28241258659053
2017-2018,Barcelona,1090.0,1,93,11.720430107526882,1090.0,1.0,110.8125792793978
2017-2018,Real Madrid,955.35,3,76,12.570394736842106,318.45,1.0,102.19195796613855
2017-2018,Ath Madrid,711.15,2,79,9.001898734177216,355.575,1.0,86.55767854023503
2017-2018,Valencia,398.05,4,73,5.4527397260273975,99.5125,7.0,66.51225311742428
2017-2018,Sevilla,253.2,7,58,4.36551724137931,36.17142857142857,9.0,57.238602933795605
2017-2018,Ath Bilbao,249.4,16,43,5.8,15.5875,9.0,56.99531766836386
2017-2018,Sociedad,232.95,12,49,4.754081632653061,19.412499999999998,10.0,55.94214855879747
2017-2018,Villarreal,220.0,5,61,3.6065573770491803,44.0,10.0,55.11305798318137
2017-2018,Celta,173.05,13,49,3.5316326530612248,13.311538461538463,11.0,52.10720450633383
2017-2018,Betis,132.25,6,60,2.2041666666666666,22.041666666666668,11.0,49.4950890248561
2017-2018,Espanol,97.8,11,49,1.9959183673469387,8.89090909090909,12.0,47.28951602640247
2017-2018,Las Palmas,91.25,19,22,4.1477272727272725,4.802631578947368,12.0,46.87016905572406
2017-2018,Girona,81.75,10,51,1.6029411764705883,8.175,12.0,46.261955892144684
2017-2018,Alaves,74.8,14,47,1.5914893617021275,5.3428571428571425,12.0,45.816999946157665
2017-2018,La Coruna,66.45,18,29,2.2913793103448277,3.691666666666667,12.0,45.28241258659053
2017-2018,Getafe,65.6,8,55,1.1927272727272726,8.2,12.0,45.22799351405975
2017-2018,Levante,61.85,15,46,1.3445652173913043,4.123333333333333,13.0,44.98790937054157
2017-2018,Eibar,60.05,9,51,1.177450980392157,6.672222222222222,13.0,44.87266898165285
2017-2018,Leganes,58.55,17,43,1.361627906976744,3.4441176470588233,13.0,44.77663532424558
2017-2018,Malaga,55.2,20,20,2.7600000000000002,2.7600000000000002,13.0,44.56216015603601
2018-2019,Barcelona,1160.0,1,87,13.333333333333334,1160.0,1.0,115.2941499584037
2018-2019,Real Madrid,896.1,3,68,13.177941176470588,298.7,1.0,98.3986284985514
2018-2019,Ath Madrid,969.7,2,76,12.75921052631579,484.85,1.0,103.11067995533476
2018-2019,Valencia,499.65,4,61,8.190983606557376,124.9125,5.0,73.01693284581002
2018-2019,Sevilla,306.3,6,59,5.191525423728813,51.050000000000004,8.0,60.63819440601296
2018-2019,Villarreal,230.65,14,44,5.242045454545455,16.475,10.0,55.79489695077299
2018-2019,Betis,290.75,10,50,5.815,29.075,9.0,59.64264549089093
2018-2019,Ath Bilbao,234.25,8,53,4.419811320754717,29.28125,10.0,56.02537772855044
2018-2019,Sociedad,300.95,9,50,6.019,33.43888888888889,8.0,60.29567436126036
2018-2019,Espanol,174.7,7,53,3.2962264150943392,24.957142857142856,11.0,52.21284152948183
2018-2019,Leganes,112.45,13,45,2.498888888888889,8.65,12.0,48.227444747080135
2018-2019,Levante,107.85,15,44,2.4511363636363637,7.1899999999999995,12.0,47.932941531031176
2018-2019,Celta,234.1,17,41,5.709756097560976,13.770588235294117,10.0,56.01577436280971
2018-2019,Eibar,93.9,12,47,1.997872340425532,7.825,12.0,47.03982851714357
2018-2019,Getafe,132.2,5,59,2.240677966101695,26.439999999999998,11.0,49.49188790294252
2018-2019,Alaves,110.8,11,50,2.2159999999999997,10.072727272727272,12.0,48.121807723932136
2018-2019,Girona,97.25,18,37,2.6283783783783785,5.402777777777778,12.0,47.254303685353136
2018-2019,Vallecano,86.7,20,32,2.709375,4.335,12.0,46.57886696158867
2018-2019,Huesca,61.4,19,33,1.8606060606060606,3.231578947368421,13.0,44.959099273319396
2018-2019,Valladolid,83.0,16,41,2.024390243902439,5.1875,12.0,46.341983939984075
